customer_id,creature_type,flight_status,dance_disaster_rating,ticklish_level,eyesight,age,number_of_policies,fire_power_level,soda_likeness_rate,snack_obsession,creature_cost,hearing_score,rage_outburst_score,risk
C1803U,Dragon,Yes,3,6,1,75,,9,3,4,675,1.407160436,5.840687328,1
C6890L,Griffin,No,4,7,8,5,2,1,1,4,454,0.432667355,7.973812368,0
C4896W,Unicorn,Yes,4,3,4,46,9,3,20,10,326,0.419235901,1.414801885,1
C1773S,Dragon,No,3,5,10,12,20,9,5,5,199,-0.284863869,4.574960936,1
C2813C,Unicorn,Yes,6,5,2,16,14,2,2,6,352,1.237303697,1.536389922,1
C5737Z,Dragon,Yes,5,6,1,19,,8,11,5,50,1.060454414,3.915185119,1
C7621T,Ciclope,Yes,7,7,8,10,1,5,1,5,523,-2.01873094,3.359004431,0
C7456U,Griffin,Yes,7,6,3,12,7,1,4,6,960,-0.443836407,3.843687716,1
C5618D,Unicorn,No,4,4,5,14,6,1,14,2,719,1.275594485,1.77138602,0
C8556L,Yeti,Yes,3,3,2,62,12,0,15,4,50,-0.103998922,3.882302065,1
C5502J,Yeti,Yes,2,4,10,11,20,3,1,9,714,0.281963748,3.635162966,1
C2642Y,Griffin,Yes,6,4,2,27,16,0,1,5,168,0.374255507,9.524229378,0
C8033Q,Yeti,No,7,3,7,10,19,3,17,8,227,0.133279233,0.519348503,1
C4621V,Ciclope,No,1,4,9,37,20,5,15,4,597,-0.502514293,2.457196481,1
C5908L,Yeti,No,6,8,4,44,,2,6,6,488,-0.042124824,2.142405685,0
C5053F,Ciclope,No,3,6,8,37,4,9,9,6,487,-1.163072069,3.188420801,1
C1829O,Dragon,Yes,3,5,2,80,7,9,3,5,81,1.065815104,1.301682836,1
C8990B,Ciclope,Yes,4,5,4,10,,8,0,7,50,-0.178091474,3.168223528,1
C8723V,Unicorn,No,6,5,10,26,2,1,5,4,659,-0.065550359,12.10412038,0
C3490Q,Yeti,No,7,6,8,7,14,2,20,7,657,2.049734863,4.189253163,1
C2486T,Dragon,Yes,6,8,8,7,7,8,0,4,1216,-1.404751791,7.088972031,0
C7304J,Griffin,Yes,6,3,9,179,6,3,12,8,50,-1.545080587,2.220768467,0
C1611Z,Ciclope,Yes,4,4,9,9,20,9,14,3,50,0.160622323,3.616815725,1
C5010X,Unicorn,Yes,5,4,1,17,5,1,14,5,976,-0.965466797,3.364675517,1
C7100U,Dragon,Yes,4,4,10,66,14,5,3,4,120,-0.446462584,3.921223193,1
C7838F,Ciclope,Yes,5,6,1,40,4,6,16,4,436,-0.216956578,9.888312175,0
C4274M,Unicorn,Yes,7,2,3,11,,0,15,8,329,1.118720853,1.307958775,1
C5479B,Dragon,No,7,2,1,113,15,5,15,2,423,-0.000469976,0.812153929,1
C5918E,Ciclope,Yes,2,6,2,18,13,5,0,3,632,0.681301668,7.386527618,1
C7689R,,No,8,2,10,52,1,0,13,6,772,-2.961720888,1.751933543,0
