customer_id,creature_type,flight_status,dance_disaster_rating,ticklish_level,eyesight,age,number_of_policies,fire_power_level,soda_likeness_rate,snack_obsession,creature_cost,hearing_score,rage_outburst_score
CUST_0001,Dragon,Yes,4,6,9,5,1,5,17,5,710,1.374572009300586,4.551509988925439
CUST_0002,Dragon,No,6,4,4,65,3,7,8,6,765,-1.514520392,2.368475147153848
CUST_0003,Yeti,No,4,2,4,13,12,0,20,9,649,0.6157827345909428,6.430337974892845
CUST_0004,Yeti,Yes,3,2,1,48,3,1,12,9,958,-0.95111994,2.1187336080081893
CUST_0005,Yeti,Yes,3,9,3,20,2,3,13,5,357,-0.561213932,2.6532105889241984
CUST_0006,Dragon,No,8,6,6,6,15,5,16,5,911,-1.187126074,4.314101725649375
CUST_0007,Griffin,Yes,5,6,9,120,16,0,9,5,127,0.7407775737939655,2.006696939227406
CUST_0008,Yeti,No,6,5,5,22,7,3,9,4,745,0.8849007700189611,3.454465926720973
CUST_0009,Dragon,Yes,3,3,2,29,3,9,7,4,385,1.134327015527541,2.270808164162277
CUST_0010,Griffin,No,5,2,7,13,2,3,3,5,317,0.6495597568907195,4.029722551830491
CUST_0011,Dragon,Yes,6,2,9,6,7,9,0,6,209,-0.072364043,10.896820527938328
CUST_0012,Yeti,No,3,3,1,27,11,0,16,9,516,2.126548136950435,0.5920447223111431
CUST_0013,Griffin,Yes,7,5,1,28,19,2,10,5,360,1.00128394,7.509629764014694
CUST_0014,Dragon,Yes,3,2,9,10,12,9,5,2,233,0.4740785153308971,1.7594467267910263
CUST_0015,Yeti,Yes,2,3,2,8,7,3,8,5,50,-0.025841378,5.154066972762831
CUST_0016,Dragon,Yes,5,4,8,23,1,5,4,1,76,-0.536006911,2.238082033144977
CUST_0017,Dragon,No,5,2,9,60,20,9,5,8,720,-0.271784005,2.2472028587677384
CUST_0018,Ciclope,No,7,4,2,16,16,6,9,6,87,-1.829420016,7.704932650425506
CUST_0019,Dragon,No,4,4,9,14,9,7,3,3,922,-0.525204131,4.376567987391619
CUST_0020,Yeti,Yes,7,5,9,33,14,0,10,6,588,-0.441417867,2.9212815864091546
CUST_0021,Unicorn,Yes,6,4,3,26,18,3,18,3,914,-0.547839824,14.045977807492658
CUST_0022,Griffin,No,4,5,2,180,10,1,2,0,933,0.5763457086575311,1.9896603022252888
CUST_0023,Griffin,No,8,6,2,37,17,1,3,1,517,0.4857679702073982,3.1047318157542145
CUST_0024,Ciclope,No,4,7,9,17,16,5,8,5,150,-1.207834288,5.880135635003081
CUST_0025,Unicorn,Yes,5,3,7,62,3,1,1,5,423,1.0058431648885071,0.786952527
